ensembl_gene_ids,baseMean,log2FoldChange,lfcSE,pvalue,padj,mgi_symbols,gene_symbols,ENTREZ_IDs
ENSMUSG00000059352,0.5018371089626881,0.025818006501655787,0.5995516692988561,0.7500529400095327,NA,MGI:MGI:3645905,Gm10064,676564
ENSMUSG00000029470,291.42024564894507,-1.072278219381045,0.15484263389365596,1.0790782068405612e-12,1.1273410447304838e-11,MGI:MGI:1338859,P2rx4,18438
ENSMUSG00000029471,534.2264185721222,-0.312939096527839,0.11280892053514746,0.004666825292688547,0.014361768028827505,MGI:MGI:2444812,Camkk2,207565
ENSMUSG00000029472,6012.143354299841,0.4450198550445585,0.052117485854363856,8.283342486637807e-18,1.1881503150938647e-16,MGI:MGI:1929722,Anapc5,59008
ENSMUSG00000029474,785.0703464036154,0.27309357854596594,0.09550420262041764,0.003764076400615138,0.011844748048723071,MGI:MGI:2153340,Rnf34,80751
ENSMUSG00000029475,2845.0762919047106,-0.8077909522358454,0.06298781797495723,4.761807318693537e-38,1.465661145019405e-36,MGI:MGI:1354737,Kdm2b,30841
ENSMUSG00000056735,542.9877320521429,-0.6419446169260201,0.11522951018837063,1.271036961864984e-8,9.28862914134555e-8,MGI:MGI:1924414,A930024E05Rik,109202
ENSMUSG00000049686,1240.36794346199,-0.5565209636065328,0.08807748704747818,1.5624026557338292e-10,1.3815379892022473e-9,MGI:MGI:1925542,Orai1,109305
ENSMUSG00000029477,0.8315491181735575,0.02706694076357688,0.5980087088325216,0.752932505188422,NA,MGI:MGI:1922140,Morn3,74890
ENSMUSG00000080836,11.8182833690528,0.31046547847129224,0.5216139655167532,0.3246620776558886,0.4971876720281336,NA,NA,NA
ENSMUSG00000054434,105.98252853804614,-0.22456605042779812,0.24046936829061097,0.30467709220812556,0.4749094573375996,MGI:MGI:3603158,Tmem120b,330189
ENSMUSG00000029449,4426.247372171811,0.10882244076193212,0.05786224005263439,0.06861275648898241,0.1460131508574204,MGI:MGI:1345629,Rhof,23912
